,artist,collab,weight
1228,Major Lazer,Suku Ward,1
1229,LUDMILLA,Diplo,1
1230,LUDMILLA,ÀTTØØXXÁ,1
1231,LUDMILLA,Suku Ward,1
1232,Diplo,ÀTTØØXXÁ,1
1233,Diplo,Suku Ward,1
1234,ÀTTØØXXÁ,Suku Ward,1
1235,Major Lazer,Paloma Mami,2
1236,Paloma Mami,Diplo,2
1237,Major Lazer,Busy Signal,2
1238,Major Lazer,Joeboy,2
1239,Busy Signal,Joeboy,2
1240,Busy Signal,Diplo,2
1241,Joeboy,Diplo,2
1242,Major Lazer,French Montana,2
1243,Major Lazer,BEAM,6
1244,French Montana,BEAM,2
1245,French Montana,Diplo,2
1246,BEAM,Diplo,6
1247,Major Lazer,Shenseea,2
1248,Shenseea,BEAM,2
1249,Shenseea,Diplo,2
1250,Mr Eazi,Major Lazer,1
1251,Mr Eazi,Nicki Minaj,2
1252,Mr Eazi,K4mo,2
1253,Mr Eazi,Diplo,2
1254,Major Lazer,Nicki Minaj,2
1255,Major Lazer,K4mo,2
1256,Nicki Minaj,K4mo,2
1257,Nicki Minaj,Diplo,2
1258,K4mo,Diplo,2
1259,Major Lazer,Moonchild Sanelly,1
1260,Major Lazer,Morena Leraba,1
1261,Diplo,Moonchild Sanelly,1
1262,Diplo,Morena Leraba,1
1263,Moonchild Sanelly,Morena Leraba,1
1264,Major Lazer,Marcus Mumford,2
1265,Marcus Mumford,Diplo,2
1266,Major Lazer,Skip Marley,2
1267,Skip Marley,Diplo,2
1268,Major Lazer,MC Lan,2
1269,Major Lazer,Anitta,2
1270,MC Lan,Anitta,2
1271,MC Lan,BEAM,2
1272,MC Lan,Diplo,2
1273,Anitta,BEAM,2
1274,Anitta,Diplo,2
1275,Major Lazer,Nucleya,2
1276,Major Lazer,Rashmeet Kaur,2
1277,Nucleya,Rashmeet Kaur,2
1278,Nucleya,Diplo,2
1279,Rashmeet Kaur,Diplo,2
1280,Diplo,Orville Peck,1
1281,Diplo,ERNEST,1
1282,Diplo,Leon Bridges,1
1283,Diplo,Thomas Rhett,1
1284,Diplo,Young Thug,1
1285,Thomas Rhett,Young Thug,1
1286,Diplo,Morgan Wallen,3
1287,Diplo,Jonas Brothers,1
1288,Diplo,Cam,1
1289,Diplo,Blanco Brown,1
1290,Diplo,Noah Cyrus,1
1291,Diplo,Julia Michaels,3
1292,Diplo,Clever,2
1293,Julia Michaels,Clever,2
1294,Diplo,Zac Brown,2
1295,Diplo,Danielle Bradbery,2
1296,Zac Brown,Danielle Bradbery,2
1297,Diplo,Ben Burgess,1
1298,Julia Michaels,Morgan Wallen,1
1299,Lil Nas X,Billy Ray Cyrus,2
1300,Lil Nas X,Diplo,2
1301,Billy Ray Cyrus,Diplo,2
1302,Major Lazer,Mr Eazi,1
1303,Diplo,Mikky Ekko,2
1304,Diplo,Lunice,1
1305,Diplo,Good Times Ahead,3
1306,Diplo,Rhye,1
1307,Sia,LSD,10
1308,Diplo,Labrinth,10
1309,Diplo,LSD,10
1310,Labrinth,LSD,10
1311,Sia,Lil Wayne,1
1312,Diplo,Lil Wayne,1
1313,Labrinth,Lil Wayne,1
1314,LSD,Lil Wayne,1
1315,Major Lazer,Wild Belle,2
1316,Major Lazer,Elliphant,2
1317,Major Lazer,Jovi Rockwell,2
1318,Elliphant,Jovi Rockwell,2
1319,Major Lazer,Chronixx,1
1320,Major Lazer,MØ,1
1321,Major Lazer,DJ Snake,1
1322,MØ,DJ Snake,1
1323,Major Lazer,Ellie Goulding,1
1324,Major Lazer,Tarrus Riley,1
1325,Ellie Goulding,Tarrus Riley,1
1326,Major Lazer,Travis Scott,1
1327,Major Lazer,2 Chainz,1
1328,Major Lazer,Pusha T,1
1329,Major Lazer,Mad Cobra,1
1330,Travis Scott,2 Chainz,1
1331,Travis Scott,Pusha T,1
1332,Travis Scott,Mad Cobra,1
1333,2 Chainz,Pusha T,1
1334,2 Chainz,Mad Cobra,1
1335,Pusha T,Mad Cobra,1
1336,Major Lazer,Ariana Grande,1
1337,Major Lazer,Machel Montano,1
1338,Ariana Grande,Machel Montano,1
1339,Major Lazer,Nyla,2
1340,Major Lazer,Fuse ODG,2
1341,Nyla,Fuse ODG,2
1342,Major Lazer,MOTi,1
1343,Major Lazer,Ty Dolla $ign,1
1344,Major Lazer,WizKid,1
1345,Major Lazer,Kranium,1
1346,MOTi,Ty Dolla $ign,1
1347,MOTi,WizKid,1
1348,MOTi,Kranium,1
1349,Ty Dolla $ign,WizKid,1
1350,Ty Dolla $ign,Kranium,1
1351,WizKid,Kranium,1
1352,Major Lazer,Kali Uchis,1
1353,Major Lazer,Gent & Jawns,1
1354,Major Lazer,Vanic,1
1355,Wild Belle,Vanic,1
1356,Major Lazer,TJR,1
1357,Elliphant,TJR,1
1358,Jovi Rockwell,TJR,1
1359,Major Lazer,4B,1
1360,Nyla,4B,1
1361,Fuse ODG,4B,1
1362,Jack Ü,Skrillex,10
1363,Jack Ü,Diplo,10
1364,Skrillex,Diplo,10
1365,Jack Ü,Fly Boi Keno,1
1366,Skrillex,Fly Boi Keno,1
1367,Diplo,Fly Boi Keno,1
1368,Jack Ü,Kiesza,2
1369,Skrillex,Kiesza,2
1370,Diplo,Kiesza,2
1371,Jack Ü,2 Chainz,1
1372,Skrillex,2 Chainz,1
1373,Diplo,2 Chainz,1
1374,Jack Ü,Aluna,1
1375,Jack Ü,AlunaGeorge,1
1376,Skrillex,Aluna,1
1377,Skrillex,AlunaGeorge,1
1378,Diplo,Aluna,1
1379,Diplo,AlunaGeorge,1
1380,Aluna,AlunaGeorge,1
1381,Jack Ü,Bunji Garlin,1
1382,Jack Ü,Mx Prime,1
1383,Skrillex,Bunji Garlin,1
1384,Skrillex,Mx Prime,1
1385,Diplo,Bunji Garlin,1
1386,Diplo,Mx Prime,1
1387,Bunji Garlin,Mx Prime,1
1388,Jack Ü,kai,1
1389,Skrillex,kai,1
1390,Diplo,kai,1
1391,Jack Ü,SNAILS,1
1392,Jack Ü,Taranchyla,1
1393,Skrillex,SNAILS,1
1394,Skrillex,Taranchyla,1
1395,Diplo,SNAILS,1
1396,Diplo,Taranchyla,1
1397,SNAILS,Taranchyla,1
1398,Jack Ü,Justin Bieber,1
1399,Skrillex,Justin Bieber,1
1400,Diplo,Justin Bieber,1
1401,Jack Ü,Missy Elliott,1
1402,Skrillex,Missy Elliott,1
1403,Diplo,Missy Elliott,1
1404,Kiesza,Missy Elliott,1
1405,Diplo,Martina Topley-Bird,1
1406,Diplo,P.E.A.C.E.,2
1407,Diplo,Vybz Cartel,1
1408,Diplo,Pantera Os Danadinhos,2
1409,Diplo,Sandra Melody,2
1410,Vybz Cartel,Pantera Os Danadinhos,1
1411,Vybz Cartel,Sandra Melody,1
1412,Pantera Os Danadinhos,Sandra Melody,1
1413,Diplo,Metronomy,1
1414,Diplo,Derek Allen,1
1415,Diplo,Eprom,1
1416,Diplo,Faustix & Imanos,2
1417,Diplo,Kai,4
1418,Faustix & Imanos,Kai,2
1419,Diplo,Alvaro,1
1420,Diplo,Kstylis,1
1421,Alvaro,Kstylis,1
1422,Diplo,LNY TNZ,2
1423,Diplo,Yellow Claw,1
1424,Diplo,Waka Flocka Flame,2
1425,LNY TNZ,Yellow Claw,1
1426,LNY TNZ,Waka Flocka Flame,2
1427,Yellow Claw,Waka Flocka Flame,2
1428,Diplo,Deorro,4
1429,Diplo,Steve Aoki,2
1430,Diplo,Steve Bays,4
1431,Deorro,Steve Aoki,2
1432,Deorro,Steve Bays,4
1433,Steve Aoki,Steve Bays,4
1434,Diplo,Angger Dimas,5
1435,Diplo,Travis Porter,4
1436,Angger Dimas,Travis Porter,4
1437,Diplo,Nicky Da B,4
1438,Diplo,Danny Diggz,2
1439,Faustix & Imanos,Danny Diggz,1
1440,Kai,Danny Diggz,2
1441,Diplo,Thugli,2
1442,Diplo,Rickyxsan,2
1443,Deorro,Rickyxsan,2
1444,Steve Aoki,Rickyxsan,2
1445,Steve Bays,Rickyxsan,2
1446,Diplo,Tony Romera,2
1447,Angger Dimas,Tony Romera,2
1448,Travis Porter,Tony Romera,2
1449,Diplo,Party Favor,2
1450,Nicky Da B,Party Favor,1
1451,Diplo,Faustix,2
1452,Diplo,Imanos,2
1453,Faustix,Imanos,2
1454,Faustix,Kai,2
1455,Imanos,Kai,2
1456,Diplo & Alvaro,Kstylis,1
1457,Yellow Claw,Diplo,2
1458,Yellow Claw,LNY TNZ,2
1459,Steve Aoki,Diplo,2
1460,Steve Aoki,Deorro,2
1461,Diplo,Nickesse T. Toney,2
1462,Faustix,Danny Diggz,1
1463,Imanos,Danny Diggz,1
1464,Good Times Ahead,Thugli,1
1465,Nickesse T. Toney,Party Favor,1
1466,Yellow Claw,Wacka Flocka Flame,1
1467,LNY TNZ,Diplo,1
1468,LNY TNZ,Wacka Flocka Flame,1
1469,Diplo,Wacka Flocka Flame,1
1470,Diplo,Travis Porte,1
1471,Angger Dimas,Travis Porte,1
1472,Spank Rock,Diplo,1
1473,CSS,Diplo,1
1474,Hot Chip,Diplo,1
1475,Black Lips,Diplo,1
1476,Claude VonStroke,Diplo,1
1477,Diplo,Vybz Kartel,1
1478,David Morales,Tamra Keenan,5
1479,K.Flay,Travis Barker,1
1480,K.Flay,Tom Morello,1
1481,K.Flay,B. Lewis,2
1482,MC Lars,K.Flay,7
1483,John Dahlbäck,Melanie Fontana,1
1484,John Dahlbäck,Davis Mallory,1
1485,John Dahlbäck,Nick & Simon,1
1486,John Dahlbäck,TRØVES,1
1487,John Dahlbäck,Alexx Mack,3
1488,John Dahlbäck,Lovestarrs,1
1489,John Dahlbäck,Luke McMaster,1
1490,John Dahlbäck,Craig Smart,1
1491,John Dahlbäck,Basto,3
1492,John Dahlbäck,Elodie,2
1493,John Dahlbäck,Arno Cost,1
1494,John Dahlbäck,Yota,1
1495,Rebecca & Fiona,Derek Pope,1
1496,Rebecca & Fiona,Marcy Chin,2
1497,Rebecca & Fiona,Skander,1
1498,Rebecca & Fiona,Parham,2
1499,Rebecca & Fiona,Wyme,1
1500,Parham,Marcy Chin,1
1501,Parham,Wyme,1
1502,Marcy Chin,Wyme,1
1503,Rebecca & Fiona,HABIB1,1
1504,Rebecca & Fiona,Fox & Charm,1
1505,Rebecca & Fiona,Grenda,1
1506,Rebecca & Fiona,Slackin Beats,1
1507,Rebecca & Fiona,D.O.D,1
1508,Rebecca & Fiona,Nibla,1
1509,Rebecca & Fiona,Kevin Courtois,1
1510,Rebecca & Fiona,Pachi,1
1511,Rebecca & Fiona,Duvchi,1
1512,Rafha Madrid,Luis Mendez,1
1513,Chus & Ceballos,Marlon D,1
1514,Mario Ochoa,Siwell Remix,1
1515,Criss Source,Jerome Robins,1
1516,Yves Larock,Muzzaik,1
1517,The Henchmen,Nemanja Stamenkovic,1
1518,The Henchmen,Danny Leblack Mayday,1
1519,Nemanja Stamenkovic,Danny Leblack Mayday,1
1520,Groove Foundation,Jay Vegas,1
1521,Alex Zamm,Rafha Madrid,1
1522,Guille Placencia,George Privatti,1
1523,David Penn,Jabato,1
1524,David Penn,Prok & Fitch,1
1525,Jabato,Prok & Fitch,1
1526,Rebecca & Fiona,Daleri,1
1527,Mat Zo,Porter Robinson,1
1528,Mat Zo,Botnek,1
1529,Porter Robinson,Botnek,1
1530,Botnek,Savage Skulls,1
1531,Kaskade,Carli,1
1532,Rebecca & Fiona,Carli,1
1533,Rebecca & Fiona,Nause,1
1534,Rebecca & Fiona,Adrian Lux,1
1535,Nause,Adrian Lux,1
1536,Rebecca & Fiona,Wax Motif,1
1537,Rebecca & Fiona,Spank Rock,1
1538,Neon Trees,Kaskade,1
1539,Neon Trees,Steve Smart & Westfunk,1
1540,Neon Trees,DJs From Mars,1
1541,Neon Trees,Tyler Glenn,1
1542,Neon Trees,Expensive People,1
1543,Kaskade,Seamus Haji,1
1544,Seamus Haji,Haley,1
1545,Haley,Kaskade,1
1546,Project 46,Olivia,2
1547,Project 46,Brooke Tomlinson,2
1548,Project 46,Jovany,1
1549,Project 46,Sam James,2
1550,Project 46,Jesse Weeks,2
1551,Project 46,Karl Wolf,2
1552,Project 46,Ava Koci,2
1553,Laidback Luke,Project 46,1
1554,Project 46,HALIENE,2
1555,Alex Gaudino,POLINA,21
1556,Alex Gaudino,Black Legend,1
1557,POLINA,Black Legend,1
1558,Alex Gaudino,Dyson Kellerman,1
1559,POLINA,Dyson Kellerman,1
1560,Alex Gaudino,Márió,2
1561,Alex Gaudino,Jordin Sparks,4
1562,Alex Gaudino,Kelly Rowland,5
1563,Alex Gaudino,Taboo,8
1564,Alex Gaudino,Jay Sean,2
1565,Alex Gaudino,JRDN,2
1566,Alex Gaudino,Mandy Ventrice,2
1567,Alex Gaudino,Niles Mason,2
1568,Alex Gaudino,Mario,1
1569,Alex Gaudino,Crystal Waters,10
1570,Alex Gaudino,Sam Obernik,1
1571,Alex Gaudino,Jerma,1
1572,Alex Gaudino,Ulta Nate,1
1573,Alex Gaudino,Alexandra Prince,1
1574,Alex Gaudino,Nari,3
1575,Alex Gaudino,Milani,3
1576,Alex Gaudino,Carl,2
1577,Nari,Milani,3
1578,Nari,Carl,2
1579,Milani,Carl,2
1580,Alex Gaudino,Jason Rooney,1
1581,Alex Gaudino,U.S.U.R.A.,1
1582,Jason Rooney,U.S.U.R.A.,1
1583,Alex Gaudino,Capricorn,1
1584,Nari,Capricorn,1
1585,Milani,Capricorn,1
1586,Alex Gaudino,Shena,14
1587,Dragonette,Dada,1
1588,Dragonette,Mike Mago,1
1589,Martin Solveig,Dragonette,5
1590,Martin Solveig,Kele,1
1591,Martin Solveig,Dev,1
1592,Martin Solveig,Idoling!!!,1
1593,Dragonette,Idoling!!!,1
1594,Martin Solveig,Sunday Girl,1
1595,Dragonette,Buffet Libre,1
1596,Dragonette,Richard Philips,1
1597,Dragonette,Michael Di Francesco,1
1598,Kill The Buzz,Phoenix Heru,1
1599,PØP CULTUR,Rush & Hydro,1
1600,Clef & Canberra,SGX,1
1601,Next Promises,hackeDJackerz,1
1602,YLLOW,OMZ,1
1603,BonRen,NAEMS,1
1604,RAIDH,Kamix,1
1605,RAIDH,S4D,1
1606,Kamix,S4D,1
1607,MR.BLACK,Ale Mora,1
1608,Kura,Syzz,1
1609,Swanky Tunes,Toby Callum,1
1610,Aryue,Lola Rhodes,2
1611,GLN,Mark Vox,2
1612,DMITRY ENMAN,Brittany McQuinn,2
1613,Nick Fox,Hard Lights,2
1614,Nick Fox,Gummy Kid,2
1615,Hard Lights,Gummy Kid,2
1616,Cosmo,Skoro,4
1617,Cosmo,JuicyTrax,2
1618,Cosmo,Amber Revival,2
1619,Skoro,JuicyTrax,2
1620,Skoro,Amber Revival,2
1621,JuicyTrax,Amber Revival,2
1622,Aryue,KD Soundsystem,2
1623,Aryue,ZESKULLZ,2
1624,KD Soundsystem,ZESKULLZ,2
1625,Rhannes,Sedate,2
1626,FootriX,Falco,2
1627,VANDLS,BassRox,2
1628,ZESKULLZ,The Playmore,2
1629,Newclaess,Gigo'n'Migo,2
1630,Newclaess,Anthony Meyer,2
1631,Gigo'n'Migo,Anthony Meyer,2
1632,Sputniq,Cosmo & Skoro,2
1633,Relanium,Deen West,1
1634,Relanium,L-Dis,1
1635,Deen West,L-Dis,1
1636,Moth Circuit,Cyborgs,2
1637,Moth Circuit,Evolsi,2
1638,Cyborgs,Evolsi,2
1639,Jegers,Kom,2
1640,Pation,Jake O'neil,2
1641,Sagan,Gregori Hawk,1
1642,Sagan,LexBlaze,1
1643,Gregori Hawk,LexBlaze,1
1644,ZESKULLZ,The Dual Personality,2
1645,Mekko,Somehotdays,2
1646,FRNDS,Cosmo,2
1647,FRNDS,Skoro,2
1648,Rasster,PLAYMORE,1
1649,Swanky Tunes,Full Fiction,1
1650,Swanky Tunes,Hard Rock Sofa,1
1651,Full Fiction,Hard Rock Sofa,1
1652,School Of Seven Bells,Mux Mool,1
1653,Skrillex,pennybirdrabbit,1
1654,Skrillex,Bare Noize,2
1655,Skrillex,Foreign Beggars,1
1656,Bare Noize,Foreign Beggars,1
1657,Skrillex,Noisia,1
1658,Skrillex,Zedd,2
1659,Skrillex,Sirah,2
1660,Sirah,Zedd,1
1661,Quadron,Kendrick Lamar,1
1662,Quadron,Classixx,1
1663,Quadron,Branko,1
1664,Dada Life,Corey James,1
1665,Dada Life,Anthony Mills,4
1666,Dada Life,Funkin Matt,1
1667,Anthony Mills,Funkin Matt,1
1668,Dada Life,Steff da Campo,1
1669,Dada Life,Hardwell,1
1670,Dada Life,Stadiumx,1
1671,Dada Life,RABBII,4
1672,Dada Life,Damien N-Drix,1
1673,RABBII,Anthony Mills,2
1674,RABBII,Damien N-Drix,1
1675,Anthony Mills,Damien N-Drix,1
1676,Dada Life,Sound Of Legend,1
1677,Dada Life,Max White,2
1678,Dada Life,Game Over Djs,1
1679,Max White,Game Over Djs,1
1680,Dada Life,Mike Williams,1
1681,Dada Life,Teamworx,1
1682,Dada Life,Jose De Mara,1
1683,Dada Life,Crusy,1
1684,RABBII,Jose De Mara,1
1685,RABBII,Crusy,1
1686,Jose De Mara,Crusy,1
1687,Dan Black,Kelis,2
1688,Dan Black,Imogen Heap,2
1689,Dan Black,Kid Cudi,1
1690,Rebecca,Smaven,1
1691,Adam.K,Soha,1
1692,Mike Hawkins,Disfunk,2
1693,Mike Hawkins,Oisín,2
1694,Mike Hawkins,Dave Winnel,2
1695,Disfunk,Oisín,2
1696,Disfunk,Dave Winnel,2
1697,Oisín,Dave Winnel,2
1698,Flatdisk,Bitter's Kiss,2
1699,Corey James,Teamworx,2
1700,Corey James,Kobi The Alien,2
1701,Teamworx,Kobi The Alien,2
1702,Michael Feiner,Fraanklyn,2
1703,Michael Feiner,Madwill,2
1704,Michael Feiner,Simon De Jano,2
1705,Fraanklyn,Madwill,2
1706,Fraanklyn,Simon De Jano,2
1707,Madwill,Simon De Jano,2
1708,Max Vangeli,Mackenzie Thoms,2
1709,Max Vangeli,Francis Marvel,2
1710,Max Vangeli,Kacie Marie,2
1711,Francis Marvel,Kacie Marie,2
1712,Afrojack,Laidback Luke,2
1713,Afrojack,Hawkboy,2
1714,Laidback Luke,Hawkboy,2
1715,Max Vangeli,Flatdisk,2
1716,Tommy Trash,NGHTMRE,2
1717,eSQUIRE,Petch,1
1718,eSQUIRE,Sian Evans,1
1719,Petch,Sian Evans,1
1720,Tiësto,An21 & Max Vangeli,1
1721,Tiësto,Lover Lover,1
1722,An21 & Max Vangeli,Lover Lover,1
1723,An21 & Max Vangeli,Bnann,1
1724,Congorock,An21 & Max Vangeli,1
1725,An21 & Max Vangeli,Julie Mc Kinight,1
1726,Steve Angello,An21 & Max Vangeli,1
1727,Michael Woods,An21 & Max Vangeli,1
1728,An21 & Max Vangeli,Example,1
1729,MOGUAI,An21 & Max Vangeli,1
1730,Kim Fai,An21 & Max Vangeli,1
1731,An21 & Max Vangeli,Rudy,1
1732,Sultan + Shepard,Fractures,1
1733,Sultan + Shepard,Nathan Nicholson,1
1734,Sultan + Shepard,Richard Walters,2
1735,Sultan + Shepard,The Cut,1
1736,Sultan + Shepard,Mougleta,4
1737,Sultan + Shepard,Rock Mafia,2
1738,Sultan + Shepard,Bahari,2
1739,Rock Mafia,Bahari,2
1740,Sultan + Shepard,Showtek,1
1741,Tritonal,Sultan + Shepard,2
1742,Tritonal,Zach Sorgen,2
1743,Sultan + Shepard,Zach Sorgen,2
1744,Sultan + Shepard,Carla Monroe,1
1745,Sultan + Shepard,Page,2
1746,Adrian Lux,Dante,2
1747,Adrian Lux,And Then,3
1748,Adrian Lux,Rebecca,1
1749,Adrian Lux,Fiona,1
1750,Adrian Lux,Axel Bauer,2
1751,Adrian Lux,Lune,5
1752,Adrian Lux,Ivan Gough,1
1753,Adrian Lux,Feenixpawl,1
1754,Dante,Ivan Gough,1
1755,Dante,Feenixpawl,1
1756,Ivan Gough,Feenixpawl,1
1757,Adrian Lux,Joakim Berg,1
1758,Adrian Lux,Bauer,1
1759,Adrian Lux,Lanford,1
1760,Bauer,Lanford,1
1761,Adrian Lux,Avicii,3
1762,Adrian Lux,PHiL GooD,1
1763,Avicii,PHiL GooD,1
1764,Adrian Lux,Ken Loi,1
1765,Adrian Lux,Franz Novotny,1
1766,And Then,Franz Novotny,1
1767,Adrian Lux,Rebecca & Fiona,1
1768,Adrian Lux,Hardwell,1
1769,Rebecca & Fiona,Hardwell,1
1770,Adrian Lux,The Good Natured,2
1771,Adrian Lux,R3HAB,2
1772,Lune,R3HAB,2
1773,Adrian Lux,Philgood,1
1774,Avicii,Philgood,1
1775,Adrian Lux,Jef Martens,1
1776,The Good Natured,Jef Martens,1
1777,Justin Michael,Jason Lent,4
1778,Justin Michael,Gina Rene,2
1779,Justin Michael,Blake Reary,1
1780,Justin Michael,Donnie Romello,3
1781,Blake Reary,Donnie Romello,1
1782,Justin Michael,Tre Hardson,1
1783,EDX,Mingue,1
1784,EDX,Hadley,8
1785,EDX,Nadia Ali,4
1786,EDX,John Williams,9
1787,EDX,Sam Obernik,6
1788,EDX,Sarah McLeod,9
1789,EDX,Tamra Keenan,12
1790,EDX,Seamus Haji,5
1791,EDX,Jerique,3
1792,Seamus Haji,Jerique,3
1793,EDX,CAZZETTE,1
1794,Hadley,CAZZETTE,1
1795,EDX,Jerique Allan,2
1796,Seamus Haji,Jerique Allan,2
1797,EDX,CAZETTE,1
1798,Hadley,CAZETTE,1
1799,EDX,Arston,1
1800,EDX,Andrew Bennett,1
1801,Nadia Ali,Andrew Bennett,1
1802,EDX,Mysto & Pizzi,1
1803,John Williams,Mysto & Pizzi,1
1804,EDX,Antonio Giacca,1
1805,Sam Obernik,Antonio Giacca,1
1806,EDX,Tommy Trash,1
1807,Sarah McLeod,Tommy Trash,1
1808,EDX,Luke Carpenter,1
1809,EDX,Inpetto,1
1810,Tamra Keenan,Inpetto,1
1811,EDX,Hailing Jordan,1
1812,EDX,Mor Avrahami,1
1813,EDX,Third District,1
1814,EDX,Cedric Zeyenne,1
1815,EDX,Nelski,1
1816,Seamus Haji,Nelski,1
1817,Jerique,Nelski,1
1818,Kwan Hendry,SoulCream,1
1819,AstroShift,Krista Richards,1
1820,AstroShift,S69,1
1821,Krista Richards,S69,1
1822,E.P.I.C.,Julie Thompson,1
1823,John Dahlbäck,Henrik B,1
1824,Chris Reece,Romina Andrews,1
1825,Incognet,Mad Max,1
1826,Halbro,KhoMha,1
1827,Dabruck & Klein,Julian Smith,1
1828,Dabruck & Klein,Gregori Klosman,1
1829,Julian Smith,Gregori Klosman,1
1830,Green Velvet,Nicky Romero,1
1831,Dinka,Inpetto,1
1832,Dobenbeck,Chris Reece,1
1833,EDX,SIKK,1
1834,EDX,Helvetic Nerds,2
1835,The Radio K,Chris Reece,1
1836,EDX,Sucker DJ's,1
1837,Daniel Portman,Helvetic Nerds,1
1838,Dinka,DJ Chus,1
1839,Clinton Brown,Tony Gomez,1
1840,The Cruzaders,Veerus,1
1841,The Cruzaders,Maxie Devine,1
1842,Veerus,Maxie Devine,1
1843,EDX,Passenger 10,1
1844,Felipe Kaval,Leventina,1
1845,Tatana,Martin Roth,1
